Title,Year,Stars,Director,Genre
The Perfect Gift,2011,"Ruben Studdard, Golden Brooks, Buddy Lewis",Alvin Moore Jr.,Comedy
The Players Club,1998,"LisaRaye, Dick Anthony Williams, Judyann Elder",Ice Cube,Comedy
The Preacher’s Wife,1996,"Denzel Washington, Whitney Houston, Courtney B. Vance",Penny Marshall,Comedy
The Proud Family Movie,2005,"Kyla Pratt, Tommy Davidson, Paula Jai Parker",Bruce W. Smith,Comedy
The Skin Game,1971,"James Garner, Louis Gossett Jr., Susan Clark",Paul Bogart,Comedy
The Thing with Two Heads,1972,"Roosevelt Grier, Ray Milland, Don Marshall",Lee Frost,Comedy
The Toy,1982,"Richard Pryor, Jackie Gleason, Ned Beatty",Richard Donner,Comedy
The Wash,2001,"Dr. Dre, Snoop Dogg, Anthony Albano",DJ Pooh,Comedy
The Wood,1999,"Elayn J. Taylor, Omar Epps, Richard T. Jones",Rick Famuyiwa,Comedy
Think Like a Man,2012,"Chris Brown, Gabrielle Union, Kevin Hart",Tim Story,Comedy
This Christmas,2007,"Regina King, Columbus Short, Delroy Lindo",Preston A. Whitmore II,Comedy
Three Can Play That Game,2007,"Vivica A. Fox, Jason George, Jazsmin Lewis",Samad Davis,Comedy
Three Strikes,2000,"Brian Hooks, N’Bushe Wright, Faizon Love",DJ Pooh,Comedy
Trading Places,1983,"Eddie Murphy, Dan Aykroyd, Ralph Bellamy",John Landis,Comedy
Trippin’,1999,"Deon Richmond, Donald Faison, Guy Torry",David Raynr,Comedy
True Identity,1991,"Lenny Henry, Frank Langella, Charles Lane",Charles Lane,Comedy
Twitches,2005,"Tia Mowry-Hardrict, Tamera Mowry-Housley, Kristen Wilson",Stuart Gillard,Comedy
Two Can Play that Game,2001,"Vivica A. Fox, Morris Chestnut, Anthony Anderson",Mark Brown,Comedy
Under the Cherry Moon,1986,"Prince, Jerome Benton, Kristin Scott Thomas",Prince,Comedy
Undercover Brother,2002,"Eddie Griffin, Denise Richards, Aunjanue Ellis",Malcolm D. Lee,Comedy
Uptown Saturday Night,1974,"Sidney Poitier, Bill Cosby, Harry Belafonte",Sidney Poitier,Comedy
Vampire in Brooklyn,1995,"Eddie Murphy, Angela Bassett, Allen Payne",Wes Craven,Comedy
Waiting to Exhale,1995,"Whitney Houston, Angela Bassett, Loretta Devine",Forest Whitaker,Comedy
Watermelon Man,1970,"Godfrey Cambridge, Estelle Parsons, Howard Caine",Melvin Van Peebles,Comedy
Welcome Home Roscoe Jenkins,2008,"Martin Lawrence, Louis C.K., James Earl Jones",Malcolm D. Lee,Comedy
Which Way is Up?,1977,"Richard Pryor, Lonette McKee, Margaret Avery",Michael Schultz,Comedy
White Chicks,2004,"Marlon Wayans, Shawn Wayans, Busy Philipps",Keenen Ivory Wayans,Comedy
White Men Can’t Jump,1992,"Wesley Snipes, Woody Harrelson, Rosie Perez",Ron Shelton,Comedy
Who's The Man?,1993,"Ed Lover, Doctor Dré, Badja Djola",Ted Demme,Comedy
Why Did I Get Married Too?,2010,"Janet Jackson, Tyler Perry, Jill Scott",Tyler Perry,Comedy
Why Did I Get Married?,2007,"Tyler Perry, Janet Jackson, Sharon Leal",Tyler Perry,Comedy
Woo,1998,"Jada Pinkett Smith, Tommy Davidson, Duane Martin",Daisy von Scherler Mayer,Comedy
You Got Served,2004,"Omarion Grandberry, J-Boog, Raz B",Chris Stokes,Comedy
