Rank,Release Group,Worldwide,Domestic,%,Foreign,%
274,Tomato Red: Blood Money,"$5,504","$5,504",100%,-,-
275,Things Don't Stay Fixed,"$5,430","$5,430",100%,-,-
276,Zombie Bro,"$5,208","$5,208",100%,-,-
277,Chasing the Dragon II: Wild Wild Bunch 2021 Re-release,"$5,105",-,-,"$5,105",100%
278,Dreamcatcher,"$5,033",-,-,"$5,033",100%
279,Women,"$4,864",-,-,"$4,864",100%
280,Wander,"$4,609",-,-,"$4,609",100%
281,The Boonies,"$4,535","$4,535",100%,-,-
282,Check,"$4,363",-,-,"$4,363",100%
283,No Place,"$4,194","$4,194",100%,-,-
284,438 Days,"$4,076",-,-,"$4,076",100%
285,Trash 2 Dash,"$3,965",-,-,"$3,965",100%
286,Belle & Sebastian,"$3,965",-,-,"$3,965",100%
287,Blood Brothers: Civil War,"$3,916","$3,916",100%,-,-
288,Twin Murders: The Silence of the White City 2021 Re-release,"$3,803",-,-,"$3,803",100%
289,Madam Chief Minister,"$3,797",-,-,"$3,797",100%
290,Line of Descent,"$3,599",-,-,"$3,599",100%
291,Turn of the Screw,"$3,533",-,-,"$3,533",100%
292,A Perfect Enemy,"$3,502",-,-,"$3,502",100%
293,Sweet River,"$3,365",-,-,"$3,365",100%
294,For the Sake of Vicious,"$3,131",-,-,"$3,131",100%
295,The Seventh Day,"$3,027",-,-,"$3,027",100%
296,Tuesdays and Fridays,"$2,983",-,-,"$2,983",100%
297,Fellini of the Spirits,"$2,586",-,-,"$2,586",100%
298,Mother to Earth,"$2,250","$2,250",100%,-,-
299,A Glitch in the Matrix,"$2,238","$2,238",100%,-,-
300,Slalom,"$2,190","$2,190",100%,-,-
301,Eden,"$1,755",-,-,"$1,755",100%
302,James & Isey,"$1,680",-,-,"$1,680",100%
303,Bill Traylor: Chasing Ghosts,"$1,666","$1,666",100%,-,-
304,Adopt a Daddy 2021 Re-release,"$1,533",-,-,"$1,533",100%
305,Stela,"$1,229",-,-,"$1,229",100%
306,Elbow Grease,$917,$917,100%,-,-
307,Automation,$824,-,-,$824,100%
308,The Dig,$693,-,-,$693,100%
309,Run with the Hunted,$682,-,-,$682,100%
310,Money Plane,$618,-,-,$618,100%
311,First Signal,$580,$580,100%,-,-
312,Life On Deniston Plateau,$509,-,-,$509,100%
313,No Time to Die,$456,-,-,$456,100%
314,Békeidö,$445,-,-,$445,100%
315,American Desert,$244,-,-,$244,100%
316,Woman on the Beach 2021 Re-release,$160,-,-,$160,100%
317,Distorted 2021 Re-release,$152,-,-,$152,100%
318,Billie Eilish: The World's a Little Blurry,$139,-,-,$139,100%
