Title,Genre,Year,Director,Stars,Worldwide,Domestic,%,Foreign,%.1
Breakin' All the Rules,Comedy,2004,Daniel Taplitz,"Jamie Foxx, Gabrielle Union, Morris Chestnut","$12,544,254","$12,264,319",97.8%,"$279,935",2.2%
Breakin' All the Rules,Romance,2004,Daniel Taplitz,"Jamie Foxx, Gabrielle Union, Morris Chestnut","$12,544,254","$12,264,319",97.8%,"$279,935",2.2%
Brewster's Millions,Comedy,1985,Walter Hill,"Richard Pryor, John Candy, Lonette McKee","$40,833,132","$40,833,132",100%,-,-
Bringing Down the House,Comedy,2003,Adam Shankman,"Steve Martin, Queen Latifah, Eugene Levy","$164,729,679","$132,716,677",80.6%,"$32,013,002",19.4%
Bustin' Loose,Comedy,1981,Oz Scott,"Richard Pryor, Cicely Tyson, Ángel Ramírez","$31,261,269","$31,261,269",100%,-,-
Carbon Copy,Comedy,1981,Michael Schultz,"George Segal, Susan Saint James, Jack Warden","$9,566,593","$9,566,593",100%,-,-
Catfish in Black Bean Sauce,Comedy,1999,Chi Muoi Lo,"Chi Muoi Lo, Sanaa Lathan, Paul Winfield","$1,319,592","$1,319,592",100%,-,-
Catfish in Black Bean Sauce,Drama,1999,Chi Muoi Lo,"Chi Muoi Lo, Sanaa Lathan, Paul Winfield","$1,319,592","$1,319,592",100%,-,-
Class Act,Comedy,1992,Randall Miller,"Christopher Reid, Christopher Martin, Andre Rosey Brown","$13,272,113","$13,272,113",100%,-,-
Coming to America,Comedy,1988,John Landis,"Eddie Murphy, Arsenio Hall, James Earl Jones","$128,152,301","$128,152,301",100%,-,-
Coming to America,Romance,1988,John Landis,"Eddie Murphy, Arsenio Hall, James Earl Jones","$128,152,301","$128,152,301",100%,-,-
Coming to America,Drama,1988,John Landis,"Eddie Murphy, Arsenio Hall, James Earl Jones","$128,152,301","$128,152,301",100%,-,-
"Corrina, Corrina",Comedy,1994,Jessie Nelson,"Ray Liotta, Whoopi Goldberg, Tina Majorino","$20,164,171","$20,164,171",100%,-,-
"Corrina, Corrina",Romance,1994,Jessie Nelson,"Ray Liotta, Whoopi Goldberg, Tina Majorino","$20,164,171","$20,164,171",100%,-,-
"Corrina, Corrina",Drama,1994,Jessie Nelson,"Ray Liotta, Whoopi Goldberg, Tina Majorino","$20,164,171","$20,164,171",100%,-,-
Critical Condition,Comedy,1987,Michael Apted,"Richard Pryor, Rachel Ticotin, Rubén Blades","$20,240,502","$20,240,502",100%,-,-
Crooklyn,Comedy,1994,Spike Lee,"Alfre Woodard, Delroy Lindo, David Patrick Kelly","$13,642,861","$13,642,861",100%,-,-
Crooklyn,Drama,1994,Spike Lee,"Alfre Woodard, Delroy Lindo, David Patrick Kelly","$13,642,861","$13,642,861",100%,-,-
Deliver Us from Eva,Comedy,2003,Gary Hardwick,"Gabrielle Union, LL Cool J, Essence Atkins","$17,573,594","$17,573,594",100%,-,-
